Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,32.0,1.0,32.0,32.0,0.1,17.106000000000016,0.0,0.0,0.009830713272094727,,,,,,,,,,,,,,,,,,,,,5.5367197772741275,5.89006317698314,16.96273347133643,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,133.0,2.0,101.0,133.0,0.1,69.60499999999999,0.0,0.0,10.09828805923462,,,,,,,,,,,,,,,,,,,,,28.187791660236023,20.420476262777978,66.89174964986628,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,168.0,3.0,35.0,168.0,0.1,18.206000000000017,0.0,0.0,13.721468925476074,,,,,,,,,,,,,,,,,,,,,5.785848970746158,6.156873121443325,18.0395563591859,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,225.0,4.0,57.0,225.0,0.1,37.004999999999995,0.0,0.0,19.526959896087646,,,,,,,,,,,,,,,,,,,,,14.45365681313714,11.504953034783759,36.253612533104864,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,264.0,5.0,39.0,264.0,0.1,12.90999999999999,0.0,0.0,23.432422161102295,,,,,,,,,,,,,,,,,,,,,3.016163097603335,4.014954467357695,12.817992806814296,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,291.0,6.0,27.0,291.0,0.1,11.205999999999994,0.0,0.0,26.311424493789673,,,,,,,,,,,,,,,,,,,,,3.1981724310112503,3.790461873543953,11.141922046533718,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,321.0,7.0,30.0,321.0,0.1,14.605999999999995,0.0,0.0,29.370639085769653,,,,,,,,,,,,,,,,,,,,,4.526846200680931,4.98353255297366,14.499178471744592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,369.0,8.0,48.0,369.0,0.1,34.50599999999999,0.0,0.0,34.13859820365906,,,,,,,,,,,,,,,,,,,,,13.411065119591678,11.598192542022483,33.93009513443333,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,399.0,9.0,30.0,399.0,0.1,17.005000000000013,0.0,0.0,37.34395456314087,,,,,,,,,,,,,,,,,,,,,5.819030118612932,5.889112072888388,16.864140513327754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,484.0,10.0,85.0,484.0,0.1,37.40800000000002,0.0,0.0,45.890963315963745,,,,,,,,,,,,,,,,,,,,,14.444523560438714,9.994277436098168,36.252684613905906,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
