Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,56.0,1.0,56.0,56.0,0.1,45.00999999999998,0.0,0.0,0.009317874908447266,,,,,,,,,,,,,,,,,,,,,19.008285906306753,14.69764448995239,44.03355907383542,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,112.0,2.0,56.0,112.0,0.1,49.005999999999986,0.0,0.0,5.995155572891235,,,,,,,,,,,,,,,,,,,,,22.38812994865007,15.368527464261463,47.84791270036363,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,168.0,3.0,56.0,168.0,0.1,47.00799999999998,0.0,0.0,11.811731815338135,,,,,,,,,,,,,,,,,,,,,20.664202283754815,15.071493839382148,45.94264401750072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,208.0,4.0,40.0,208.0,0.1,30.00900000000001,0.0,0.0,16.109079837799072,,,,,,,,,,,,,,,,,,,,,12.259853107309647,10.148879441790953,29.577731761498857,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,255.0,5.0,47.0,255.0,0.1,35.010999999999974,0.0,0.0,21.020933389663696,,,,,,,,,,,,,,,,,,,,,13.994642823106465,11.78243593826496,34.42206148822897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,336.0,6.0,81.0,336.0,0.1,73.00700000000003,0.0,0.0,29.066348552703857,,,,,,,,,,,,,,,,,,,,,33.43455405842624,22.182979404357063,70.4396099014605,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,370.0,7.0,34.0,370.0,0.1,24.00900000000001,0.0,0.0,32.66804099082947,,,,,,,,,,,,,,,,,,,,,9.461205194179666,8.295582387194973,23.734764818269618,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,403.0,8.0,33.0,403.0,0.1,24.00800000000001,0.0,0.0,36.26989269256592,,,,,,,,,,,,,,,,,,,,,9.746894898915384,8.252758814487558,23.733796327193858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,493.0,9.0,90.0,493.0,0.1,80.00900000000004,0.0,0.0,45.36794447898865,,,,,,,,,,,,,,,,,,,,,35.93226778624936,24.422910933910487,76.92887672380847,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,529.0,10.0,36.0,529.0,0.1,26.00900000000001,0.0,0.0,49.076165437698364,,,,,,,,,,,,,,,,,,,,,10.389664675830028,8.919251106259546,25.6863190233979,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,562.0,11.0,33.0,562.0,0.1,23.00900000000001,0.0,0.0,52.611122608184814,,,,,,,,,,,,,,,,,,,,,8.99908928935325,7.981257492764585,22.757522340610226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,587.0,12.0,25.0,587.0,0.1,16.00800000000001,0.0,0.0,55.31618404388428,,,,,,,,,,,,,,,,,,,,,6.0542911713412515,5.716034309006345,15.888403639592015,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,617.0,13.0,30.0,617.0,0.1,20.00900000000001,0.0,0.0,58.36121320724487,,,,,,,,,,,,,,,,,,,,,7.623278591584167,7.027163442036444,19.819921665662132,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
